band_name;song_title;album_list;num_album;smallest_date;biggest_date;max_view;num_feat;profanity_count;profanity_ratio
Amaranthe;83;"['Helix' 'Amaranthe' 'Massive Addictive' 'Manifest' 'The Nexus'
 'Maximalism' 'PvP (Remix) - Single' ' Manifest (Bonus Version) '
 'The Catalyst' 'Communio Lupatum']";8;18/02/2009;16/11/2023;11113.0;5;4;0.04819277108433735
Anthony Green;79;"['Pixie Queen' 'Studio 4 Acoustic Session' 'Would You Still Be In Love'
 'Avalon' 'Boom. Done.' 'Beautiful Things' 'Young Legs'
 'Music for Everyone' 'Lets Start a Band'
 'Off The Board: A Studio 4 Family Compilation']";9;05/08/2008;13/05/2023;28210.0;5;11;0.13924050632911392
Architects;127;"['Holy Hell' 'All Our Gods Have Abandoned Us'
 'Live at The Royal Albert Hall' 'For Those That Wish to Exist'
 'Lost Forever // Lost Together' 'A11*' 'Daybreaker'
 'the classic symptoms of a broken spirit' 'Hollow Crown'
 'All Our Gods Have Abandoned Us (HMV Exclusive Edition)'
 'The Here and Now' 'Daybreaker (Deluxe Edition)'
 'Lost Forever // Lost Together (Deluxe Edition)' 'Ruin' 'Nightmares'
 'Spotify Singles' 'Worship and Tributes' 'Covering 20 Years of Extremes']";13;15/05/2006;04/12/2023;232410.0;10;33;0.25984251968503935
Bad Omens;40;"['THE DEATH OF PEACE OF MIND' 'Bad Omens'
 'Finding God Before God Finds Me'
 'Finding God Before God Finds Me (Deluxe)']";4;18/12/2015;25/02/2022;97665.0;0;10;0.25
Blue October;175;"['Foiled' 'History For Sale' 'I Hope You’re Happy' 'Any Man In America'
 'This Is What I Live For' 'Sway' 'Home' 'Approaching Normal'
 'Spinning the Truth Around (Part I)'
 'Spinning The Truth Around (Part II)' 'The Answers'
 'Consent to Treatment' 'Preaching Lies to the Righteous' 'Incoming']";14;15/08/2000;13/10/2023;457485.0;4;36;0.2057142857142857
Brand New;85;"['The Devil and God Are Raging Inside Me' 'Deja Entendu' 'Science Fiction'
 'Your Favorite Weapon' 'Daisy' 'I Am a Nightmare (Single)'
 'Mene - Single' 'Brand New / Safety in Numbers [EP]'
 '3 Demos, Reworked [EP]' '(Fork and Knife) (Single)'
 'Fight Off Your Demons' 'Sowing Season (Single)'
 'The Quiet Things That No One Ever Knows (Single)'
 'At The Bottom (Single)' 'The Holiday EP' 'Jesus Christ (Single)']";9;09/10/2001;17/08/2017;303815.0;0;6;0.07058823529411765
Breaking Benjamin;80;"['Phobia' 'Ember' 'Dark Before Dawn' 'We Are Not Alone' 'Dear Agony'
 'Aurora' 'Saturate' 'So Cold - EP'
 'Shallow Bay: The Best of Breaking Benjamin']";9;27/08/2002;06/12/2019;204551.0;2;24;0.3
Bring Me The Horizon;125;"['Live at Wembley' 'POST HUMAN: SURVIVAL HORROR' 'amo' 'Sempiternal'
 'That’s The Spirit' 'POST HUMAN: SURVIVAL HORROR (Japan Edition)'
 'POST HUMAN: NeX GEn'
 'There Is a Hell, Believe Me I’ve Seen It. There Is a Heaven, Let’s Keep It a Secret'
 'Suicide Season' 'Sempiternal (Japanese Edition)'
 'Count Your Blessings (Hot Topic Edition)'
 'Music to listen to~dance to~blaze to~pray to~feed to~sleep to~talk to~grind to~trip to~breathe to~help to~hurt to~scroll to~roll to~love to~hate to~learn Too~plot to~play to~be to~feel to~breed to~sweat to~dream to~hide to~live to~die to~GO TO'
 'Sempiternal (Deluxe Edition)' 'Radio 1 Rescores: Drive'
 'Count Your Blessings/This Is What The Edge Of Your Seat Was Made For'
 'Spotify Singles' 'The Bedroom Sessions'
 'That’s The Spirit (Track by Track Commentary)'
 'Find Your Line (Official Music from Gran Turismo 7)'
 'Bring Me The Horizon Radio 1 Live Sessions (2019)'
 'Celebrate Life in Honor of Chester Bennington']";13;02/10/2003;13/10/2023;435778.0;23;56;0.448
CHVRCHES;76;"['The Bones of What You Believe (Special Edition)' 'Every Open Eye'
 'Love Is Dead' 'In Search of Darkness' 'Screen Violence'
 'The Hunger Games: Mockingjay, Pt. 1 (Original Motion Picture Soundtrack)'
 'Every Open Eye (Extended Edition)'
 'The Bones Of What You Believe (Asia Deluxe Edition)'
 'NOW That’s What I Call Music! 114 [UK]'
 'Screen Violence (Director’s Cut)'
 'Tegan and Sara Present The Con X: Covers'
 'Vampire Academy (Music From the Motion Picture)'
 'The Bones of What You Believe (10th Anniversary Edition)'
 'Spotify Singles' ""BBC Radio 1's Live Lounge 2015""]";10;05/11/2012;20/10/2023;221424.0;2;7;0.09210526315789473
Circa Survive;103;"['On Letting Go' 'The Amulet' 'Juturna' 'Blue Sky Noise'
 'The Music Of Circa Survive: 2005 - 2012' 'Descensus' 'Two Dreams'
 'Hurricane Sandy Benefit EP' 'Appendage' 'Violent Waves'
 'On Letting Go: Deluxe Ten Year Edition' 'B-Sides' 'The Inuit Sessions '
 'Lipton Witch / Bad Heart' 'Awake In A Dream / Rainbow Signs'
 'Doused in Mud, Soaked in Bleach' 'In Utero: In Tribute'
 'Off The Board: A Studio 4 Family Compilation'
 'Whatever Nevermind: A Tribute to Nirvana’s Nevermind']";17;18/03/2005;04/02/2022;46402.0;2;7;0.06796116504854369
